variant,source,e_explicit,m_explicit,f_explicit,e_could_be,m_could_be,f_could_be,e_score,m_score,f_score,e_max,m_max,f_max,d_min,d_max,zone,uncertain,question_tags,ins_number,compound_name,nutrient_class,dairy_product_subtype,milling_grade,oil_fraction,protein_fraction,sugar_form,language_tag,f_revised
wafer,wheat,?baking,flakes,base ingredient,NULL,NULL,NULL,0.58,0.36,0.12,0.58,0.36,0.12,0.33,0.33,2,False,True,,,,,,,,,,raw_agricultural_material
wheat,wheat,NULL,NULL,base ingredient,milling,flour/fine powder|coarse grits,NULL,0,0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False,,,,,,,,,,raw_agricultural_material
kesar,saffron,drying,NULL,colour,NULL,powder,taste profile / spice,0.42,0,0.8,0.42,0.42,0.8,0.446,0.572,2,False,False,,,,,,,,,,colour
mater,peas,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,thickener,0,0.05,0.12,0,0.1,0.615,0.063,0.276,1,False,False,,,,,,,,,,raw_agricultural_material
yeast,yeast,fermentation,NULL,raising agent,NULL,powder,NULL,0.56,0,0.475,0.56,0.42,0.475,0.358,0.484,2,False,False,,,,,,,,,,raising agent
apple,apple,NULL,whole/fresh pieces,base ingredient,NULL,juice,sweetener,0,0.05,0.12,0,0.5,0.625,0.063,0.4,1,True,False,,,,,,,,,,raw_agricultural_material
basil,basil,NULL,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces,flavouring agent,0,0.05,0.18,0,0.1,0.675,0.087,0.3,1,True,False,,,,,,,,,,taste profile / spice
tulsi,tulsi,NULL,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces,flavouring agent,0,0.05,0.18,0,0.1,0.675,0.087,0.3,1,True,False,,,,,,,,,,taste profile / spice
beans,beans,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,thickener,0,0.05,0.12,0,0.1,0.615,0.063,0.276,1,False,False,,,,,,,,,,raw_agricultural_material
besan,chickpea,milling,flour/fine powder,base ingredient,NULL,NULL,thickener,0.28,0.33,0.12,0.28,0.33,0.615,0.231,0.429,1,True,False,,,,,,,,,,raw_agricultural_material
chana,chickpea,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,thickener,0,0.05,0.12,0,0.1,0.615,0.063,0.276,1,False,False,,,,,,,,,,raw_agricultural_material
clove,clove,drying,NULL,taste profile / spice,NULL,powder,flavouring agent,0.42,0,0.18,0.42,0.42,0.675,0.198,0.522,1,True,False,,,,,,,,,,taste profile / spice
cocoa,cocoa,fermentation,NULL,taste profile / spice,roasting,powder,flavouring agent,0.56,0,0.18,0.58,0.42,0.675,0.24,0.57,1,True,False,,,,,,,,,,taste profile / spice
cumin,cumin,drying,NULL,taste profile / spice,NULL,powder,flavouring agent,0.42,0,0.18,0.42,0.42,0.675,0.198,0.522,1,True,False,,,,,,,,,,taste profile / spice
jeera,cumin,drying,NULL,taste profile / spice,NULL,powder,flavouring agent,0.42,0,0.18,0.42,0.42,0.675,0.198,0.522,1,True,False,,,,,,,,,,taste profile / spice
moong,mung bean,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,thickener,0,0.05,0.12,0,0.1,0.615,0.063,0.276,1,False,False,,,,,,,,,,raw_agricultural_material
guava,guava,NULL,whole/fresh pieces,base ingredient,NULL,pulp/puree,sweetener,0,0.05,0.12,0,0.25,0.625,0.063,0.325,1,True,False,,,,,,,,,,raw_agricultural_material
honey,honey,NULL,dense block,sweetener,NULL,NULL,flavouring agent,0,0.38,0.625,0,0.38,0.675,0.364,0.384,2,False,False,,,,,,,,,,sweetener
leeks,leek,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,flavouring agent,0,0.05,0.12,0,0.1,0.675,0.063,0.3,1,True,False,,,,,,,,,,raw_agricultural_material
lemon,lemon,NULL,whole/fresh pieces,flavouring agent,NULL,juice,acidity regulator,0,0.05,0.675,0,0.5,0.86,0.285,0.494,1,True,False,,,,,,,,,,flavouring agent
dairy,milk,NULL,NULL,base ingredient,pasteurization,NULL,NULL,0,0,0.12,0.48,0,0.12,0.048,0.192,1,False,False,,,,,,,,,,raw_agricultural_material
salts,mineral,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False,,,,,,,,,,raw_agricultural_material
onion,onion,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,flavouring agent,0,0.05,0.12,0,0.1,0.675,0.063,0.3,1,True,False,,,,,,,,,,raw_agricultural_material
sooji,wheat,milling,coarse grits,base ingredient,NULL,NULL,NULL,0.28,0.3,0.12,0.28,0.3,0.12,0.222,0.222,1,False,False,,,,,semolina,,,,,raw_agricultural_material
wheat,wheat,NULL,NULL,base ingredient,milling,flour/fine powder|coarse grits,NULL,0,0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False,,,,,,,,,,raw_agricultural_material
supar,areca nut,NULL,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces,flavouring agent,0,0.05,0.18,0,0.1,0.675,0.087,0.3,1,True,False,,,,,,,,,,taste profile / spice
thyme,thyme,NULL,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces,flavouring agent,0,0.05,0.18,0,0.1,0.675,0.087,0.3,1,True,False,,,,,,,,,,taste profile / spice
water,water,NULL,juice,base ingredient,NULL,NULL,NULL,0,0.5,0.12,0,0.5,0.12,0.198,0.198,1,False,False,,,,,,,,,,raw_agricultural_material
brine,mineral,NULL,juice,base ingredient,NULL,NULL,preservative,0,0.5,0.12,0,0.5,0.885,0.198,0.504,1,True,False,,,,,,,,,,raw_agricultural_material
l-hpc,synthetic,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False,,,amino_acid,,,,,,,fortification_agent
lupin,lupin,NULL,NULL,base ingredient,NULL,NULL,NULL,0,0,0.12,0,0,0.12,0.048,0.048,1,False,False,,,,,,,,,,raw_agricultural_material
musli,safed musli,NULL,NULL,base ingredient,NULL,whole/fresh pieces|powder,NULL,0,0,0.12,0,0.42,0.12,0.048,0.174,1,False,False,,,,,,,,,,raw_agricultural_material
oxide,mineral,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False,,,,,,,,,,raw_agricultural_material
pipal,long pepper,NULL,whole/fresh pieces,taste profile / spice,drying,powder,flavouring agent,0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False,,,,,,,,,,taste profile / spice
spelt,spelt,NULL,NULL,base ingredient,milling,flour/fine powder|coarse grits,NULL,0,0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False,,,,,,,,,,raw_agricultural_material
carrot,carrot,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,NULL,0,0.05,0.12,0,0.1,0.12,0.063,0.078,1,False,False,,,,,,,,,,raw_agricultural_material
turnip,turnip,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,NULL,0,0.05,0.12,0,0.1,0.12,0.063,0.078,1,False,False,,,,,,,,,,raw_agricultural_material
cashew,cashew,NULL,whole/fresh pieces,base ingredient,roasting,NULL,NULL,0,0.05,0.12,0.58,0.05,0.12,0.063,0.237,1,False,False,,,,,,,,,,raw_agricultural_material
garlic,garlic,NULL,whole/fresh pieces,taste profile / spice,drying,cut/sliced pieces|powder,flavouring agent,0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False,,,,,,,,,,taste profile / spice
ginger,ginger,NULL,whole/fresh pieces,taste profile / spice,drying,cut/sliced pieces|powder,flavouring agent,0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False,,,,,,,,,,taste profile / spice
sunthi,ginger,drying,powder,taste profile / spice,NULL,NULL,flavouring agent,0.42,0.42,0.18,0.42,0.42,0.675,0.324,0.522,2,False,False,,,,,,,,,,taste profile / spice
amchur,mango,drying,powder,taste profile / spice,NULL,NULL,acidity regulator,0.42,0.42,0.18,0.42,0.42,0.86,0.324,0.596,2,False,False,,,,,,,,,,taste profile / spice
millet,millet,NULL,NULL,base ingredient,milling,flour/fine powder|coarse grits,NULL,0,0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False,,,,,,,,,,raw_agricultural_material
quinoa,quinoa,NULL,NULL,base ingredient,milling,flour/fine powder|coarse grits,NULL,0,0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False,,,,,,,,,,raw_agricultural_material
saamai,little millet,NULL,NULL,base ingredient,milling,flour/fine powder|coarse grits,NULL,0,0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False,,,,,,,,,,raw_agricultural_material
nachni,finger millet,NULL,NULL,base ingredient,milling,flour/fine powder|coarse grits,NULL,0,0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False,,,,,,,,,,raw_agricultural_material
fudina,mint,NULL,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces,flavouring agent,0,0.05,0.18,0,0.1,0.675,0.087,0.3,1,True,False,,,,,,,,,,taste profile / spice
raisin,grape,drying,whole/fresh pieces,sweetener,NULL,NULL,flavouring agent,0.42,0.05,0.625,0.42,0.05,0.675,0.391,0.411,2,False,False,,,,,,,,,,sweetener
sesame,sesame,NULL,NULL,base ingredient,NULL,NULL,NULL,0,0,0.12,0,0,0.12,0.048,0.048,1,False,False,,,,,,,,,,raw_agricultural_material
soynut,soybean,roasting,NULL,base ingredient,NULL,NULL,NULL,0.58,0,0.12,0.58,0,0.12,0.222,0.222,1,False,False,,,,,,,,,,raw_agricultural_material
stevia,stevia,NULL,NULL,sweetener,NULL,powder|extract/oleoresin,flavouring agent,0,0,0.625,0,0.86,0.675,0.25,0.528,1,True,False,,,,,,,,,,sweetener
sugars,sugarcane,NULL,crystalline chemical,sweetener,refining,juice,base ingredient,0,0.98,0.625,0.75,0.98,0.625,0.544,0.769,2,True,False,,,,,,,,refined_sucrose,,sweetener
zucker,sugarcane,NULL,crystalline chemical,sweetener,refining,juice,base ingredient,0,0.98,0.625,0.75,0.98,0.625,0.544,0.769,2,True,False,,,,,,,,refined_sucrose,de,sweetener
mishri,sugarcane,NULL,crystalline chemical,sweetener,refining,NULL,base ingredient,0,0.98,0.625,0.75,0.98,0.625,0.544,0.769,2,True,False,,,,,,,,raw_unrefined,hi,sweetener
waffle,wheat,NULL,NULL,base ingredient,?extrusion|baking,NULL,NULL,0,0,0.12,0.6,0,0.12,0.048,0.228,1,False,True,,,,,,,,,,raw_agricultural_material
almond,almond,NULL,whole/fresh pieces,base ingredient,roasting,cut/sliced pieces,NULL,0,0.05,0.12,0.58,0.1,0.12,0.063,0.252,1,False,False,,,,,,,,,,raw_agricultural_material
citric,synthetic | corn,fermentation,crystalline chemical,acidity regulator,NULL,NULL,antioxidant|preservative,0.56,0.98,0.86,0.56,0.98,0.885,0.806,0.816,3,False,False,,,,,,,,,,acidity regulator
dhania,coriander,NULL,whole/fresh pieces,taste profile / spice,drying,cut/sliced pieces|powder,flavouring agent,0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False,,,,,,,,,,taste profile / spice
safron,saffron,drying,NULL,colour,NULL,powder,taste profile / spice,0.42,0,0.8,0.42,0.42,0.8,0.446,0.572,2,False,False,,,,,,,,,,colour
fennel,fennel,NULL,whole/fresh pieces,taste profile / spice,drying,cut/sliced pieces|powder,flavouring agent,0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False,,,,,,,,,,taste profile / spice
ajwain,carom,NULL,whole/fresh pieces,taste profile / spice,drying,cut/sliced pieces|powder,flavouring agent,0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False,,,,,,,,,,taste profile / spice
ajowan,ajowan,NULL,whole/fresh pieces,taste profile / spice,drying,cut/sliced pieces|powder,flavouring agent,0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False,,,,,,,,,,taste profile / spice
coffee,coffee,roasting,NULL,flavouring agent,NULL,powder|extract/oleoresin,taste profile / spice,0.58,0,0.675,0.58,0.86,0.675,0.444,0.702,2,True,False,,,,,,,,,,flavouring agent
banana,banana,NULL,whole/fresh pieces,base ingredient,NULL,pulp/puree,sweetener,0,0.05,0.12,0,0.25,0.625,0.063,0.325,1,True,False,,,,,,,,,,raw_agricultural_material
barley,barley,NULL,NULL,base ingredient,milling,flour/fine powder|coarse grits,NULL,0,0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False,,,,,,,,,,raw_agricultural_material
biotin,synthetic,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False,,,vitamin_water_soluble,,,,,,,fortification_agent
pepper,pepper,NULL,whole/fresh pieces,taste profile / spice,drying,powder,flavouring agent,0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False,,,,,,,,,,taste profile / spice
brahmi,brahmi,NULL,whole/fresh pieces,flavouring agent,NULL,cut/sliced pieces|powder,NULL,0,0.05,0.675,0,0.42,0.675,0.285,0.396,1,True,False,,,,,,,,,,flavouring agent
butter,milk,churning,fat fraction,lipid base,NULL,NULL,flavouring agent,0.45,0.72,0.22,0.45,0.72,0.675,0.439,0.621,2,False,False,,,,,,,,,,lipid base
celery,celery,NULL,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces,flavouring agent,0,0.05,0.18,0,0.1,0.675,0.087,0.3,1,True,False,,,,,,,,,,taste profile / spice
cheese,milk,fermentation,dense block,base ingredient,NULL,NULL,NULL,0.56,0.38,0.12,0.56,0.38,0.12,0.33,0.33,2,False,False,,,,hard_cheese,,,,,,processed_ingredient
paneer,milk,fermentation,dense block,base ingredient,NULL,NULL,NULL,0.56,0.38,0.12,0.56,0.38,0.12,0.33,0.33,2,False,False,,,,paneer,,,,,,processed_ingredient
cheese,milk,fermentation,dense block,base ingredient,NULL,NULL,NULL,0.56,0.38,0.12,0.56,0.38,0.12,0.33,0.33,2,False,False,,,,hard_cheese,,,,,,processed_ingredient
chilli,chilli,NULL,whole/fresh pieces,taste profile / spice,drying,cut/sliced pieces|powder,flavouring agent,0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False,,,,,,,,,,taste profile / spice
chilli,chilli,NULL,whole/fresh pieces,taste profile / spice,drying,cut/sliced pieces|powder,flavouring agent,0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False,,,,,,,,,,taste profile / spice
